001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"N18078","1711","Anton, Pasqual Joseph.",,,,"Grammatica Española,","que con el mas breve, y mas claro methodo manuduce â un Inglès al cabal conocimiento de tan diffusa lengua. Dedicala â la Exma Sa mi Señora la Duquesa de Shreusbury, Dn. Pasqual Joseph Anton. Maestro de Lenguas en Londres. = A Spanish grammar: which is the shortest, plain, and most easy method to instruct an English man in the true knowledge of that extensive language. Dedicated to Her Grace the Dutchess of Shrewsbury, &c. By Dn. Pasqual Joseph Anton. Master of Languages in London. ",,"London :","printed for Daniel Browne, at the Black Swan and Bible without Temple-Bar, and Thomas Ward in the Inner-Temple Lane,","1711. ","[8],192,[8]p. ","8⁰. "
"N18133","1732","Grey, Richard,",,,"1694-1771.","The great tribunal.","A sermon preach'd at the assizes held at Northampton, August 2, 1732. By the Right Honourable the Lord Chief Justice Eyre, and the Honourable Mr. Justice Price. By Richard Grey, ... ",,"London :","printed for C. King; J. Batley; J. Fowler bookseller in Northampton; and J. Wilmot of Oxford,","1732. ","29,[1]p. ","8⁰. "
"N18163","1735",,,,,"A genuine epistle written some time since to the late famous Mother Lodge. ",,,"London :","printed for J. Roberts at the Oxford Arms in Warwick-Lane for the use of her creditors ,","MDCCXXXV. [1735] ","12p. ","2⁰. "
"N18317","1771",,,,,"The gentleman's diary,","or the mathematical repository; an almanack for the year of our Lord 1771. ...",,"London :","printed by W. Bowyer and J. Nichols, for the Company of Stationers,","1771.","48p. ","8⁰."
"N18342","1773","Wynne, John Huddlestone,",,,"1743-1788.","Fables of flowers, for the female sex. With Zephyrus and Flora, a vision.","Written for the amusement of ... the Princess Royal. By John Huddlestone Wynne, ...",,"London :","printed for George Riley. And John Wilkie,","MDDCLXXIII [1773]","ix,[3],173,[7]p.,plates :","12⁰."
"N18440","1737","Nelson, Robert,",,,"1656-1715.","Instructions for them that come to be confirmed,","by way of question and answer: with prayers for them to use before and after their confirmation. By Rob. Nelson, Esq; ","The eleventh edition.","London :","printed by W. Bowyer, for J. Walthoe, R. Wilkin, J. and J. Bonwicke, S. Birt, T. Osborn, and E. Wicksteed,","1737. ","24p. ","12⁰. "
"N18587","1730","Arnall, William,",,,"1699 or 1700-1736.","The free Briton.","Number 50. Containing reflections on the Irish troops in the service of France; with a defence of royal licences to raise recruits in Ireland. To which is now added, a postscript in answer to the Craftsman extraordinary. By Francis Walsingham of the Inner-Temple, Esq; ",,"London :","printed for J. Peele at Locke's Head in Amen-Corner, Paternoster-Row,","MDCCXXX. [1730] ","36p. ","8⁰. "
"N18615","1740","Jones, Griffith,",,,"1683-1761.","A further account of the progress of the circulating Welsh charity-schools. In a letter to a friend. By the Reverend Mr. Jones, Minister of Llandowror, near Laugharne, Carmarthenshire. ",,,"London :","printed for J. Hutton, at the Bible and Sun without Temple-Bar,","M.DCCXL. [1740] ","iv,29,[3]p. ","8⁰. "
"N18665","1757","Synge, Edward,",,,"1659-1741.","Free thinking in matters of religion stated and recommended.","By the most Reverend Dr. Edward Synge, ...","A new edition, corrected.","London :","printed for Thomas Trye,","1757.","47,[1]p. ","12⁰."
"N18685","1759","Heister, Lorenz,",,,"1683-1758.","A general system of surgery,","in three parts. Containing the doctrine and management I. Of wounds, fractures, Luxations, Tumors, and Ulcers, of all Kinds. II. Of the several operations performed on all Parts of the Body. III. Of the several bandages applied in all Operations and Disorders. The whole illustrated with forty copper-plates, exhibiting all the Operations, Instruments, Bandages, and Improvements, according to the Modern and most approved Practice. To which is prefixed, an introduction, Concerning the Nature, Origin, Progress, and Improvements of Surgery; With such other Preliminaries as are necessary to be known by the Younger Surgeons. Being a Work of Thirty Years Experience. By Dr. Laurence Heister, Professor of Physic and Surgery in the University of Helmstadt, Fellow of the Royal Society, London, and of the Royal Academy at Paris, &c.","The seventh edition, translated from the author's last edition, greatly improved.","London :","printed for J. Clarke, J. Whiston and B. White, L. Davis and C. Reymers, R. Baldwin, W. Johnston, and P. Davey and B. Law,","MDCCLIX. [1759]","v.1 (xvi,456p.),XVIIIplates ","4⁰."
"N18905","1760","Riccoboni, Marie Jeanne de Heurles Laboras de Mezières,",,,"1713-1792.","Letters from Juliet Lady Catesby,","to her friend Lady Henrietta Campley. Translated from the French.",,"London :","printed for R. and J. Dodsley, in Pall-Mall,","MDCCLX. [1760]","[2],246,246-251p. ","12⁰."
"N19303","1733",,,,,"A letter to the free-holders of Great Britain. ",,,"London :","printed for J. Peele,","1733. ","30p. ","8⁰. "
"N19356","1716","Norman, John,",,,"fl. 1703-1757.","Lay-nonconformity justified,","in a dialogue between a gentleman of the town in communion with the Church of England, and his dissenting friend in the country. ","The second edition.","London :","printed for John Clark at the Bible and Crown in the Poultry, near Cheapside,","1716.","[4],24,33-52p. ","8⁰. "
"N19454","1726",,,,,"A paraphrase and comment upon the Epistles and Gospels,","appointed to be used in the Church of England on all Sundays and holy-days ... By George Stanhope, ... ","The fourth edition.","London :","printed by M. J. for E. Parker; R. Williamson; and B. Motte,","1726. ","4v.,plate ","8⁰. "
"N19607","1759","Stona, Thomas,",,,"1727 or 8-1792.","A letter to the Norfolk militia,","upon the proceedings of ancient nations when engaged in war. By a dumpling-eater.",,"London :","printed and sold by M. Cooper, in Pater-Noster-Row,","MDCCLIX. [1759]","iv,136p. ","8⁰."
"N19683","1744","Berkeley, George,",,,"1685-1753.","A letter to T----- P----, Esq; from the author of Siris.","Containing some farther remarks on the virtues of tar-water, shewing the several medicinal properties of it, ... To which is added, an answer to a supposed physician's letter to the Right Reverend the Bishop of Cloyne, ...","The third edition, corrected and enlarged from the last Dublin edition.","[London] :","Dublin printed, London re-printed, for W. Innys, C. Hitch, and M. Coopbr [sic]; and C. Davis,","1744.","32p. ","8⁰."
"N19858","1754","Leti, Gregorio,",,,"1630-1701.","The life of Pope Sixtus the Fifth.","... In which is included the state of England, France, Spain, ... With an account of St. Peter's, the conclave, and manner of chusing a pope; the Vatican Library, the many grand obelisks, aqueducts, bridges, ... begun or finish'd by him The whole interspers'd with several curious incidents and anecdotes, ... Translated from the Italian of Gregorio Leti, with a preface, prolegomena, notes, and appendix, by Ellis Farneworth, ...",,"London :","printed by W. Bowyer, and sold by C. Bathurst,","1754.","xvii,[1],xxiv,484p. ","2⁰."
"N19868","1758",,,,,"Laws relating to the poor,","from the forty-third of Queen Elizabeth to the third of King George II. With cases adjudged in the court of King's Bench, ... By Robert Foley ...","The fourth edition, continued with the additional clauses of the late statutes, and adjudged cases, to the present time.","[London] :","In the Savoy: printed by Henry Lintot; for S. Crowder, and W. Bowyer,","1758.","[4],438,[34]p. ","8⁰."
"N19891","1750","A** C**,","Esq.",,,"A letter from the late A** C** Esq. to the Revd. Dr. C** M****.","On his Examination of the Lord Bishop of London's discourses concerning the use and intent of prophecy. With some occasional references to the Free enquiry, &c.",,"London :","printed for S. Austen in Newgate-Street,","MDCCL. [1750]","[2],iv,74p. ","8⁰."
"N20398","1766","Lowth, Robert,",,,"1710-1787.","A letter to the right reverend author of The divine legation of Moses demonstrated","in answer to the appendix to the fifth volume of that work: with an appendix, containing a former literary correspondence: by a late professor in the University of Oxford. The fourth edition. To which is added, a letter to the Reverend Doctor Brown.",,"London :","printed for A. Millar, and J. Dodsley,","MDCCLXVI. [1766]","141[i.e.145],[1]p. ","8⁰."
"N20436","1732","De-La-Cour, James,",,,"1709-ca. 1785.","The progress of beauty. A poem. ",,,"[London] :","Dublin, printed. London, reprinted and sold by J. Roberts,","1732. ","36p. ","4⁰. "
"N20559","1760","Stevens, J. N.",,,,"A practical treatise on fevers.","By Dr. Stevens.",,"London :","printed for R. Baldwin, in Pater-Noster-Row,","M.DCC.LX. [1760]","[2],viii,510p. ","8⁰."
"N20604","1717",,,,,"Poems on several occasions. By His Grace the Duke of Buckingham ... Sr. Samuel Garth ... Bevil Higgins Esq; And other eminent hands. ",,,"London :","printed for Bernard Lintot,","1717. ","[8],192,177-228p. ","8⁰. "
"N20906","1717","Daniel, Richard,",,,"d. 1739.","A poem on the return of His Majesty King George from Hanover:","inscribed to Her Royal Highness the Princess of Wales. By the Reverend Mr. Daniel. ",,"London :","printed for Bernard Lintot between the Temple-Gates in Fleetstreet,","[1717] ","8p. ","2⁰. "
"N20935","1754","Bolingbroke, Henry St. John,","Viscount,",,"1678-1751.","The philosophical works of the late Right Honorable Henry St. John,","Lord Viscount Bolingbroke. In five volumes. Published by David Mallet, Esq; ... ",,"London :","[s.n.],","Printed in the Year MDCCLIV. [1754] ","5v. ","8⁰. "
"N21143","1745","White, John,",,,"ca. 1685-1755.","A second letter to a gentleman dissenting from the Church of England,","concerning the lives of churchmen and dissenters. Wherein the great and popular pleas of dissenters against communion with the Church are refuted, and reflected back upon themselves. By John White, B. D. Sometime Fellow of St. John's College, Cambridge.",,"London :","printed for C. Davis, against Gray's Inn, Holbourn, W. Craighton at Ipswich; and M. Cooper in Pater-Noster-Row,","MDCCXLV. [1745]","viii,84p. ","8⁰."
"N2132","1716","Whitby, Daniel,",,,"1638-1726.","Irrisio Dei panarii Romanensium.","The derision of the breaden God worshipped in the Romish Church, gathered out of the Holy Scriptures, the Apocryphal Books, and Writings of the Holy Fathers. To which is added, a sermon preach'd at the Cathedral-Church of Sarum, the first Sunday in Advent, 1715. By Daniel Whitby, D. D. and Chantor of the Cathedral Church of Sarum. ",,"London :","printed for John Churchill, at the Black-Swan in Pater-Noster-Row,","1716. ","124p. ","8⁰. "
"N2142","1746","Swift, Jonathan,",,,"1667-1745.","Directions to servants","in general; and in particular to the butler, cook, footman, coachman, groom, house-steward, and land-steward, porter, dairy-maid, chamber-maid, nurse, laundress, house-keeper, tutoress, or governess. By the Reverend Dr. Swift, D.S.P.D.","The second edition.","London :","printed for R. Dodsley, in Pall-Mall, and M. Cooper, in Pater-Noster-Row,","MDCCXLVI. [1746]","[2],93,[1]p. ","8⁰."
"N21447","1736","Sannazaro, Jacopo,",,,"1458-1530.","Sannazarius on the birth of our Saviour. Done into English verse. And humbly inscrib'd to the gentlemen of the learned society of Spalding in the county of Lincoln. By a member of the said society. ",,,"London :","printed for W. Lewis, in Covent-Garden,","MDCCXXXVI. [1736] ","[2],78p. ","8⁰. "
"N21511","1734",,,,,"The Scarborough miscellany:","a collection of original poems, tales, songs, epigrams, &c. Containing I. Scarborough, a poem in imitation of Mr. Gay's Journey to Exeter. ... ",,"London :","printed for J. Wilford,","1734. ","[4],59,[1]p. ","8⁰. "
"N21545","1732",,,,,"Schemes from Ireland, for the benefit of the body natural, ecclesiastical, and politick.","The first humbly offer'd, for making religion and the clergy useful. With the author's observations on the cause and cure of the piles: ... The second, An infallible scheme to pay the publick debt of this nation in six months. ... ","The second edition.","[London] :","Dublin printed: London, re-printed for J. Roberts,","1732. ","31,[1]p. ","8⁰. "
"N21718","1761","Saunderson, Nicholas,",,,"1682-1739.","Select parts of Professor Saunderson's Elements of algebra.","For the use of students at the universities.","The second edition.","London :","printed for A. Millar , in the Strand ; J. Whiston and B. White , in Fleet-Street ; L. Davis and C. Reymers , in Holborn : and Mess. Thurlbourn and Woodyer, at Cambridge,","MDCCLXI [1761]","[4],412p.,plates ","8⁰."
"N21756","1772","Cowley, Abraham,",,,"1618-1667.","Select works","of Mr. A. Cowley; in two volumes: with a preface and notes by the editor. ... ","The second edition.","London :","printed by W. Bowyer and J. Nichols: for T. Cadell , In The Strand,","MDCCLXXII. [1772] ","2v. :","8⁰. "
"N21789","1764","Muller, John,",,,"1699-1784.","A treatise containing the practical part of fortification.","In four parts. I. The Theory of Walls, Arches, and Timbers, with several Tables of their Dimensions. II. The Knowledge of the Materials, their Properties, Qualities, and the Manner of using them. III. The Manner of tracing a Fortress on the Ground, the making an Estimate, and executing the Works. IV. The Method of building Aquatics, as Stone-Bridges, Harbours, Quays, Wharfs, Sluices, and Aqueducts. Illustrated with twenty eight copper plates. For the use of the Royal Academy of Artillery at Woolwich. By John Muller, Professor of Artillery and Fortification.","The second edition, with improvements.","London :","printed for A. Millar, in the Strand,","MDCCLXIV. [1764]","xxiv,302,[2]p.,plates ","8⁰."
"N21802","1774","Bernard, Francis,","Sir,",,"1712-1779.","Select letters on the trade and government of America","and the principles of law and polity, applied to the American colonies. Written by Governor Bernard, at Boston, In the Years 1763, 4, 5, 6, 7, and 8.",,"London :","printed by W. Bowyer and J. Nichols,","MDCCLXXIV. [1774]","[2],vii,[1],85,[1]p. ","8⁰."
"N21895","1730",,,,,"Select poems from Ireland:","being I. A satyr in imitation of Persius; by an English noblemen [sic]. II. An extemporary poem by the Earl of Ch-d. III. A Christmas-box for Doctor D-ny, in answer to his epistle, printed in the second part of The tribunes. IV. A reply to the Christmas-box in defence of Doctor D-ny. ",,"[London] :","Printed at Dublin: London, reprinted and sold by T. Warner,","1730. ","[2],30p. ","8⁰. "
"N21899","1772",,,,,"Medical transactions,","published by the College of Physicians in London. Volume the first.","The second edition.","London :","printed for S. Baker, and J. Dodsley,","M.DCC.LXXII. [1772]","xv,[1],474,[2]p.,plate ","8⁰."
"N21911","1730",,,,,"Select poems from Ireland:","part II. Containing, I. A letter to Dr. D---l---y on the libels writ against him. II. The pheasant and the lark. A fable. III. A friendly apology for a certain justice of the peace, by way of defence of H--rtley Hutch---n, Esq; ",,"[London] :","Printed at Dublin: London, reprinted and sold by T. Warner at the Black-Boy in Pater-Noster-Row,","M.DCC.XXX. [1730] ","[4],28p. ","8⁰. "
